MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     397.49658 Sec       3/3/2022 5:20:28 PM
Data Acquisition: Timed
Station Name: ftse.cfg
Test File Name: Default.tst
Time      Ch Disp.  Ch Force
Sec       in        kip
292.60938 0.03103436 12.008801
293.10938 0.035209052 12.148836
293.60938 0.039425679 12.300568
294.10938 0.043534793 12.481873
294.60938 0.047744695 12.66325
295.10938 0.051922213 12.825097
295.60938 0.056049712 12.997558
296.10938 0.060237303 13.190638
296.60938 0.064393327 13.372147
297.10938 0.068562768 13.544956
297.60938 0.072714761 13.729872
298.10938 0.076912418 13.942656
298.60938 0.081042126 14.127422
299.10938 0.085213542 14.303004
299.60938 0.089415282 14.527841
300.10938 0.093547188 14.738618
300.60938 0.097716317 14.922502
301.10938 0.10189164 15.122831
301.60938 0.10605086 15.353229
302.10938 0.110213  15.544104
302.60938 0.11439364 15.733605
303.10938 0.11855007 15.964729
303.60938 0.1227046 16.184059
304.10938 0.12689148 16.365963
304.60938 0.13106291 16.576414
305.10938 0.13524292 16.802614
305.60938 0.13937634 16.976871
306.10938 0.14357521 17.171598
306.60938 0.14772981 17.386147
307.10938 0.15193547 17.552454
307.60938 0.15607481 17.694782
308.10938 0.16023651 17.888008
308.60938 0.16435565 18.052618
309.10938 0.16853586 18.206102
309.60938 0.1727653 18.391705
310.10938 0.17687285 18.547991
310.60938 0.18108584 18.679361
311.10938 0.18520716 18.844736
311.60938 0.18936419 18.988131
312.10938 0.19354191 19.122932
312.60938 0.19772987 19.272804
313.10938 0.20189005 19.409191
313.60938 0.20604274 19.517731
314.10938 0.21022242 19.653284
314.60938 0.21436505 19.780268
315.10938 0.21853922 19.878901
315.60938 0.2227066 20.01545
316.10938 0.22687492 20.127113
316.60938 0.23103634 20.220221
317.10938 0.23521714 20.332989
317.60938 0.23942079 20.445618
318.10938 0.24358937 20.526577
318.60938 0.24778393 20.63814
319.10938 0.25188622 20.750505
319.60938 0.25603679 20.823278
320.10938 0.26018605 20.927612
320.60938 0.26440677 21.016151
321.10938 0.26856896 21.089796
321.60938 0.27268016 21.186905
322.10938 0.27687752 21.27331
322.60938 0.28104171 21.338329
323.10938 0.28520802 21.429607
323.60938 0.28939074 21.512611
324.10938 0.2935521 21.559309
324.60938 0.29769957 21.662697
325.10938 0.30185759 21.718134
325.60938 0.30612406 21.780807
326.10938 0.31020328 21.873095
326.60938 0.3143993 21.920115
327.10938 0.31853881 21.979584
327.60938 0.32270175 22.064674
328.10938 0.32689711 22.104757
328.60938 0.33112991 22.161566
329.10938 0.3352493 22.234043
329.60938 0.33938003 22.260162
330.10938 0.34356159 22.349672
330.60938 0.34773177 22.400991
331.10938 0.35189721 22.431955
331.60938 0.35607672 22.505928
332.10938 0.36026031 22.536243
332.60938 0.36439449 22.575876
333.10938 0.36859348 22.640366
333.60938 0.37272406 22.671324
334.10938 0.37691692 22.717997
334.60938 0.38107929 22.767918
335.10938 0.38523179 22.784569
335.60938 0.38937929 22.85216
336.10938 0.39354762 22.876379
336.60938 0.39778373 22.911816
337.10938 0.40189841 22.957333
337.60938 0.40603957 22.968229
338.10938 0.41022894 23.024595
338.60938 0.41438845 23.06633
339.10938 0.41854724 23.080828
339.60938 0.42272383 23.125233
340.10938 0.42690456 23.147879
340.60938 0.43103972 23.166185
341.10938 0.43524686 23.216906
341.60938 0.43937838 23.229185
342.10938 0.44359291 23.253574
342.60938 0.44771945 23.287523
343.10938 0.45192164 23.293421
343.60938 0.45607427 23.338991
344.10938 0.46024889 23.364052
344.60938 0.4644044 23.371706
345.10938 0.46862993 23.403698
345.60938 0.47272909 23.415249
346.10938 0.47691301 23.432203
346.60938 0.48106933 23.46361
347.10938 0.48521218 23.470755
347.60938 0.48937368 23.499477
348.10938 0.49360064 23.519855
348.60938 0.49773797 23.518677
349.10938 0.50191396 23.559992
349.60938 0.50608641 23.558527
350.10938 0.51028591 23.571125
350.60938 0.51442742 23.597395
351.10938 0.51859945 23.58923
351.60938 0.52275628 23.619385
352.10938 0.52689987 23.639593
352.60938 0.53106141 23.629333
353.10938 0.53521693 23.669958
353.60938 0.5394426 23.657801
354.10938 0.54358047 23.675776
354.60938 0.54772681 23.694271
355.10938 0.55192727 23.688745
355.60938 0.55604982 23.708529
356.10938 0.56024432 23.703793
356.60938 0.56440693 23.718996
357.10938 0.56857753 23.736715
357.60938 0.57271713 23.731337
358.10938 0.57693303 23.751125
358.60938 0.58111006 23.748281
359.10938 0.58523446 23.754595
359.60938 0.58943862 23.77342
360.10938 0.59359151 23.750706
360.60938 0.59775668 23.775587
361.10938 0.60189009 23.770248
361.60938 0.60606253 23.774742
362.10938 0.61024916 23.795904
362.60938 0.61443162 23.771542
363.10938 0.61854929 23.796017
363.60938 0.62275875 23.768278
364.10938 0.62690568 23.789583
364.60938 0.63109952 23.795078
365.10938 0.635243  23.778063
365.60938 0.6394195 23.795771
366.10938 0.64357644 23.762766
366.60938 0.64770097 23.77631
367.10938 0.65191793 23.767895
367.60938 0.65607363 23.753857
368.10938 0.66024327 23.753126
368.60938 0.66441941 23.723587
369.10938 0.6685518 23.722862
369.60938 0.67270821 23.709753
370.10938 0.6769194 23.679459
370.60938 0.68110484 23.661621
371.10938 0.68522859 23.613523
371.60938 0.68941152 23.590057
372.10938 0.69357383 23.540638
372.60938 0.69775027 23.478754
373.10938 0.70192808 23.439837
373.60938 0.70608199 23.350399
374.10938 0.71023721 23.311037
374.60938 0.71442568 23.222271
375.10938 0.71856761 23.143198
375.60938 0.72276604 23.064638
376.10938 0.72696823 22.933714
376.60938 0.73104531 22.875328
377.10938 0.73528194 22.750248
377.60938 0.73941612 22.654045
378.10938 0.74355644 22.554001
378.60938 0.74776816 22.424217
379.10938 0.75191092 22.330833
379.60938 0.75612134 22.186148
380.10938 0.76027119 22.068213
380.60938 0.76443762 21.946495
